Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,29.700001,29.700001,26.420000,26.549999,26.549999,854000
2022-02-18,26.450001,27.000000,25.200001,25.330000,25.330000,671600
2022-02-22,24.680000,25.735001,24.540001,24.799999,24.799999,638800
2022-02-23,25.670000,25.680000,23.485001,23.549999,23.549999,655600
2022-02-24,22.030001,26.400000,22.000000,26.160000,26.160000,1077800
2022-02-25,26.590000,27.049999,25.480000,26.930000,26.930000,741700
2022-02-28,26.530001,28.750000,26.510000,27.799999,27.799999,906900
2022-03-01,27.870001,29.670000,26.950001,28.040001,28.040001,1380900
2022-03-02,28.049999,28.910000,27.230000,27.840000,27.840000,1005400
2022-03-03,28.299999,28.450001,25.280001,26.020000,26.020000,903800
2022-03-04,25.750000,26.600000,24.370001,24.760000,24.760000,758100
2022-03-07,25.200001,26.030001,24.385000,24.510000,24.510000,797300
2022-03-08,25.020000,26.549999,23.610001,25.190001,25.190001,815300
2022-03-09,26.040001,27.150000,25.910000,26.240000,26.240000,973500
2022-03-10,25.480000,26.010000,24.650000,25.870001,25.870001,498100
2022-03-11,26.250000,26.250000,23.639999,23.790001,23.790001,602500
2022-03-14,23.570000,24.441999,21.450001,21.940001,21.940001,1218400
2022-03-15,22.180000,24.230000,22.090000,23.530001,23.530001,890400
2022-03-16,24.290001,26.020000,23.790001,25.980000,25.980000,1276300
2022-03-17,25.780001,27.690001,25.389999,27.559999,27.559999,780900
2022-03-18,27.040001,29.510000,27.040001,28.290001,28.290001,2237600
2022-03-21,27.760000,28.370001,26.780001,27.219999,27.219999,727300
2022-03-22,26.920000,28.610001,26.920000,28.160000,28.160000,634700
2022-03-23,27.690001,28.299999,26.500000,26.930000,26.930000,573200
2022-03-24,27.190001,27.660000,25.670000,27.639999,27.639999,706800
2022-03-25,27.730000,27.730000,26.400000,26.959999,26.959999,524300
2022-03-28,27.370001,28.150000,26.700001,27.830000,27.830000,572900
2022-03-29,28.690001,31.360001,28.690001,30.889999,30.889999,1071200
2022-03-30,30.200001,30.660000,28.639999,28.760000,28.760000,695800
2022-03-31,29.219999,29.219999,27.450001,27.570000,27.570000,668600
2022-04-01,27.650000,29.180000,27.650000,29.020000,29.020000,776400
2022-04-04,29.570000,30.100000,28.730000,29.520000,29.520000,464700
2022-04-05,29.250000,29.555000,26.920000,27.010000,27.010000,689400
2022-04-06,26.559999,27.090000,25.530001,26.860001,26.860001,958800
2022-04-07,26.700001,27.670000,25.900000,26.600000,26.600000,715600
2022-04-08,26.420000,26.740000,25.410000,25.780001,25.780001,680000
2022-04-11,25.139999,25.850000,24.520000,25.320000,25.320000,545900
2022-04-12,26.010000,27.510000,25.350000,25.799999,25.799999,676300
2022-04-13,25.629999,26.270000,25.309999,25.879999,25.879999,704100
2022-04-14,25.889999,25.889999,24.020000,24.150000,24.150000,528700
2022-04-18,24.139999,24.139999,22.940001,23.260000,23.260000,592100
2022-04-19,23.309999,24.610001,22.790001,23.879999,23.879999,682800
2022-04-20,24.110001,24.110001,22.680000,23.059999,23.059999,747100
2022-04-21,23.709999,24.469999,21.360001,21.700001,21.700001,1003600
2022-04-22,21.650000,22.469999,21.549999,21.790001,21.790001,1542400
2022-04-25,21.620001,23.320000,21.559999,23.320000,23.320000,914500
2022-04-26,23.090000,23.400999,21.855000,21.879999,21.879999,1210300
2022-04-27,21.860001,22.629999,21.450001,21.570000,21.570000,1047400
2022-04-28,21.760000,22.340000,20.230000,21.340000,21.340000,800900
2022-04-29,21.230000,22.190001,20.370001,20.469999,20.469999,735400
2022-05-02,20.379999,21.670000,20.290001,21.590000,21.590000,1230200
2022-05-03,21.680000,22.135000,21.080000,21.459999,21.459999,1404300
2022-05-04,21.930000,22.605000,20.040001,22.450001,22.450001,2217100
2022-05-05,21.790001,21.870001,18.393000,19.010000,19.010000,1271100
2022-05-06,18.639999,18.959999,17.590000,18.440001,18.440001,2005900
2022-05-09,17.900000,18.320000,16.770000,17.000000,17.000000,2089600
2022-05-10,18.620001,19.290001,15.930000,16.590000,16.590000,1699700
2022-05-11,16.219999,17.020000,15.170000,15.450000,15.450000,1259300
2022-05-12,15.000000,17.610001,14.850000,16.480000,16.480000,1881800
2022-05-13,17.110001,18.670000,17.110001,18.160000,18.160000,1346500
2022-05-16,17.940001,18.100000,16.520000,16.580000,16.580000,827200
2022-05-17,17.400000,17.820000,16.480000,17.410000,17.410000,1157900
2022-05-18,16.780001,17.370001,15.980000,16.139999,16.139999,886200
2022-05-19,16.180000,17.940001,15.985000,17.469999,17.469999,1161700
2022-05-20,17.870001,18.430000,16.879999,18.370001,18.370001,1106000
2022-05-23,18.330000,18.690001,17.549999,17.940001,17.940001,679700
2022-05-24,17.299999,17.790001,16.520000,16.940001,16.940001,747300
2022-05-25,16.910000,17.780001,16.730000,17.120001,17.120001,841500
2022-05-26,17.120001,17.830000,16.740000,17.350000,17.350000,620200
2022-05-27,17.590000,18.940001,17.280001,18.889999,18.889999,1034700
2022-05-31,18.580000,19.065001,17.315001,17.580000,17.580000,1146900
2022-06-01,17.760000,18.260000,16.790001,17.340000,17.340000,971700
2022-06-02,17.450001,18.559999,17.128000,18.230000,18.230000,886600
2022-06-03,17.440001,17.750000,16.610001,17.120001,17.120001,845900
